,CN_Growth_PMI_neworder_Change,CN_Growth_yield_spread_Change,CN_Growth_TSF_yoy_Change,CN_Growth_industrial_Change,CN_Growth_commodity_Change,CN_Growth_export_Change,CN_Growth_real_estate_Change,CN_Inflation_CPI_Change,CN_Inflation_PPI_Change,CN_Inflation_commodity_Change,CN_Inflation_PMI_price_Change,CN_Inflation_FX_Change,CN_Inflation_pig_Change,US_Inflation_BEI_Change,US_Inflation_commodity_Change,US_Inflation_official_Change,US_Inflation_FX_Change,US_Growth_ISM_Change,US_Growth_yield_curve_Change,US_Growth_copper_gold_Change,CN_RiskAppetite_AAA_spread_Change,CN_RiskAppetite_AA_spread_Change,CN_Monetary_DR007_Change,CN_Monetary_Shibor_3M_Change,CN_Monetary_R007_Change
沪深300指数,0.20128630382280574,0.057230560882409624,-0.06668307268386402,0.02294375907780156,-0.023199479440813436,0.04785509063174279,0.04967327810152991,-0.03731757181149597,-0.09701556112564554,0.20330969471774188,0.1715642184645,0.08187594514558644,0.013724566698345713,0.16425233646689405,0.13178870716304336,-0.1767584439397033,0.22811645512812606,0.06140472974909411,0.01449843217203154,0.2365189076199629,0.13149562576370805,0.07113278581745223,-0.006061008373009003,0.03524634816734239,-0.03559175274678978
中证小盘500指数,0.2507194605714191,0.017997832559387753,-0.11131165612888853,0.0743750782914355,-0.0489641860943203,0.05862371889087033,0.04054201667170557,0.07301313601651407,-0.038332627686829344,0.1925896535728896,0.19464459918277568,0.11357620926469585,-0.006752072008634977,0.20819911406896796,0.11847761235407812,-0.10920417763910448,0.1288238501540305,0.08809127828473684,-0.014924212583588366,0.20301811714852702,0.0837066961636078,0.02964259193910181,-0.011002547115597944,0.005116266189371855,-0.10111354969246263
中证1000指数,0.26918687950516146,0.0289234178827724,-0.12312118266160887,0.07839778317228277,-0.06770230377139347,0.053638683124704316,0.03567775074382996,0.07639602555883068,-0.01811998162984402,0.17500218690314964,0.17560944967223288,0.13038686042924588,0.007946880840429089,0.19756012358775007,0.11416226846539317,-0.07919340705157166,0.10731150982182487,0.0701689860153892,-0.021294952621793973,0.16705136744696156,0.07307768876527512,0.021396324631234694,-0.004811033121578273,0.0028681954355238314,-0.09743562152411941
上证科创板50成份指数,0.1461461116598877,-0.09513462749501969,0.10459322896693878,0.12507619739201087,0.03251440242352737,0.033888906879899636,-0.005552103362216661,0.08668989953539276,-0.01093271196465157,0.006243644100897654,0.055868464215123495,0.12960274773962951,0.12868524706470294,0.09714136278479481,-0.03602668248328203,0.05464260029412144,0.11495008705804875,0.06556160383778711,-0.10046176994656648,-0.08398408631239865,0.09549186482943707,0.13754765423284962,0.0818288594901577,0.04554669464377315,0.057838315326845774
创业板指数,0.19077321347985984,0.0034739864177648276,-0.1255810187417876,0.0906061658130639,-0.05939006859700655,0.022073072639869212,-4.28035200736571e-05,0.06130386760807842,-0.009833658690202082,0.13571549846260797,0.16009409804570596,0.15057551463070942,0.05564742996377918,0.19725820780489492,0.08092958577708721,-0.059332660632681215,0.08464379243865627,0.050597559625493185,-0.06324824584034407,0.13903243912032662,0.09045931827059649,0.06173172913528432,-0.019559029022112935,0.030328815685130284,-0.09445920047469006
标普中国A股大盘红利低波50指数,0.1317658326394627,0.029482780658143644,-0.061027234080568496,0.004375570302378687,-0.021868383759222274,0.08358366340519362,0.06573511706000887,-0.048140265422385434,-0.07952774056730412,0.16215557604495218,0.09591256171563206,0.022999023137185763,-0.04927530707867156,0.11975135289046537,0.12426431240099602,-0.17049577540961144,0.123528479797504,0.06978135172963319,0.005270495459291519,0.20156935163936035,0.11741807980331402,0.07854002342748176,0.031666470101963363,-0.00044024926599328494,-0.05588256102210535
中证红利质量指数,0.2552410368320761,0.04204257007124849,-0.07993636546574376,0.058960578266847606,-0.008347876623487616,0.07803192357343333,0.004178021471037708,0.018653153836952055,-0.0788781364298032,0.208731027565996,0.17267569688649248,-0.026796651429527064,0.017863402648311776,0.20461192703494335,0.16027037762794266,-0.1455570695448465,0.19527403896763013,0.1012153210235316,-0.020694338936369547,0.20774661050832807,0.14884766898635593,0.10518471268397986,0.01613074111577078,0.03550748290238601,-0.08065059407361758
上证5年期国债指数,-0.10304885924306006,-0.12423096061404168,-0.03529848302449697,-0.12669385039217562,-0.08439729086047322,-0.06555299501530845,0.06124146943626388,-0.12027499017760351,-0.07586487366612991,-0.3081235419358501,-0.3298156780223557,0.07091062568264776,0.07081450641064777,-0.23934099175414278,-0.20984711931081057,0.009794995389236016,-0.2537075287431407,-0.17566375725330388,0.13825627092620518,-0.2280702522856867,-0.09134406919142592,-0.11167131312474311,-0.3658710224638472,-0.2765729115295995,-0.1466852734334796
上证10年期国债指数(净价),-0.1251113836293542,-0.057832340642890244,-0.04335953100272092,-0.10728595417844007,-0.07974304590008292,-0.06550247615140209,0.06646535288445155,-0.0948287686530593,-0.06536503198426873,-0.30080383687821843,-0.30476209673328186,0.115051411160237,0.06767695028830881,-0.23349745301563177,-0.20932729433934155,0.03404473681331639,-0.2666583035212354,-0.10482980342728916,0.1402708214117934,-0.25229695615012826,-0.11819150077210146,-0.14712834971503583,-0.2773721143564909,-0.23938834608763593,-0.10003294236448847
中债-30年期国债指数,-0.09391926836164616,-0.04961179925774689,-0.06409491405375017,-0.019908904015874637,-0.107342604352764,-0.13449433248268655,0.06518636036929888,-0.13474830033458585,-0.08138373911980587,-0.24135301650025415,-0.2160442724729854,0.13143546027494948,0.07858428403984088,-0.18370835960931095,-0.15424508811285037,0.03735903380600728,-0.14539614204690593,-0.017885483802609823,0.1287632607369321,-0.2354208730375303,-0.16805378110585031,-0.18867424845765257,-0.201066848996333,-0.2437730337771453,-0.13746623736395958
中债-中高等级公司债利差因子指数,-0.04999318931408937,-0.03629003332974948,0.020253050323217257,0.0003382932507404286,-0.11867039763678341,-0.11189710048977693,0.02840341365214583,-0.021254905333319384,-0.05086521087176914,-0.25741234270971475,-0.22602619514193867,0.16888265708596384,0.04017747993584556,-0.2079265334278034,-0.19954632323734392,0.00678176522905096,-0.09671434939117773,-0.1116673068009253,0.08837350147546011,-0.21870334694295193,-0.24014975692397617,-0.1665299871894255,-0.29571685578438267,-0.25637189019011736,-0.24275748744407125
上证基准做市公司债指数,-0.014508631639542292,-0.04804178466134442,-0.06921047577950706,-0.02503232113893823,-0.14675320697744323,0.05485001388127978,0.08587612726216008,0.0880403246769191,0.02632633807743502,-0.040524838328986956,-0.047890489324528086,0.21343168378945238,-0.06708059259244101,0.011073563637270488,0.02425447992041583,-0.009455085167532323,-0.0842690238188838,0.14880956794606764,-0.07116214530601032,0.005331502344406651,-0.05416330050245688,-0.05420670152577591,-0.12088927027669197,-0.13950591038843224,-0.0815771298848477
中证可转债及可交换债券指数,0.07978914637189229,0.05883258161292727,-0.0066940307675245865,-0.07016949441242375,-0.004051146678173442,-0.04286159980411089,-0.06298392354392388,-0.09743641947556955,-0.14958579391396723,0.059809358947106796,0.03772680723478897,0.18632127371619536,-0.06044916386981577,0.042390474919716904,0.013472161676083843,-0.1515648185767041,0.04109582958038224,-0.03156716197709792,0.13130184814407267,0.10978640144725604,0.018361654739288816,0.00084280376079484,-0.14728762110891158,-0.06177590536624148,-0.07929043161035548
上海期货交易所有色金属期货价格指数,0.0961962254928253,0.05813284188256936,-0.023804605441537063,0.006002596706445107,0.09660123776570813,0.07436771865055672,-0.04521891142334922,0.1233511558288259,0.04703972868983177,0.49171219341510397,0.3500373151136027,-0.17846308905303165,-0.03574833075801891,0.2962472509402532,0.3855079735180994,0.04252763689619896,0.2594430437411021,0.0885692385038285,0.02021566021635795,0.49644909894240985,0.10178474649326255,0.15035460503210515,0.14264877529172668,0.08647185085818025,0.10865907636675239
大连商品交易所豆粕期货价格指数,0.05095221396979615,-0.0369241808752013,-0.09534352107597968,0.046360278705214586,-0.051530147144704705,0.017613134540027078,0.03694121829553515,-0.002798740616819098,-0.002818480880216286,0.1961838913095912,0.1274286304888876,-0.06697909398484357,-0.009208713368793616,0.05702613981528402,0.18730971105725433,0.03300828887890265,0.14716547230311264,0.08352033656367816,0.0645475004076878,0.10780645674664031,0.06550819901992419,0.0629669623517812,0.03788561275860651,0.0005341904810969674,-0.03940862947101667
易盛能化A,0.14283854074837063,0.10905343399741416,-0.011472155414076587,0.046200638001006204,0.1125545477871384,0.027690133273023495,0.0033351133215294127,0.15926618859267244,0.054984133342366334,0.560446365142901,0.30896767210295467,-0.15627853698418182,-0.14052694276239333,0.23881327371222397,0.40298151244207353,0.05738413097257257,0.2038189723438636,0.17079878469422416,-0.005875673757970545,0.3163871583043925,-0.006626554580568985,0.08446235007670704,0.009459045520554798,0.11017910452458331,0.08802171779435228
SGE黄金999,-0.09880721805190718,-0.017573135941088024,0.037339163471673494,0.013859020191546367,-0.016181161102049087,-0.1836826782032719,-0.09093650034198279,0.011008656951527253,0.008880675508017133,0.07818862003869595,0.08683454394506238,0.15424244821761723,0.1370874075236248,0.016984461828205864,0.08275037820959066,0.06138792997237862,0.2394269123958593,-0.10189932579577708,0.0698510701767177,-0.3090260101190538,0.05757353766418078,0.07456255803110831,-0.04631825860804848,-0.003977173405717451,-0.08528519374326439
