ETF代码,ETF名称,Index代码,Index名称,资产类别,是否调用回测[Y/N],全部跟踪该指数的基金,管理费率,托管费率,总费率,
510300.SH,沪深300ETF,000300.SH,沪深300,Stock,Y,"006020.OF,006021.OF,024546.OF,015907.OF,510390.SH,018258.OF,023607.OF,022090.OF,021851.OF,501043.SH,501045.SH,XCHA.DF,RQFI.DF,RQFI.L,007044.OF,015279.OF,165515.SZ,008291.OF,008292.OF,007275.OF,007276.OF,022987.OF,000051.OF,022774.OF,463300.KS,168580.KS,219900.KS,283580.KS,192090.KS,217780.KS,003876.OF,020647.OF,005113.OF,515360.SH,050002.OF,165310.OF,005114.OF,021886.OF,000176.OF,008238.OF,159673.SZ,002987.OF,515390.SH,020011.OF,006912.OF,481009.OF,021022.OF,016204.OF,002310.OF,515310.SH,022599.OF,515380.SH,000312.OF,562070.SH,022866.OF,025936.OF,022935.OF,007143.OF,010854.OF,022924.OF,022310.OF,160706.SZ,022366.OF,022367.OF,018257.OF,023147.OF,022091.OF,023059.OF,021832.OF,021833.OF,003015.OF,002670.OF,008926.OF,022954.OF,024314.OF,023146.OF,005640.OF,9188.HK,320014.OF,001016.OF,002315.OF,510310.SH,002671.OF,020161.OF,022899.OF,519116.OF,000313.OF,005103.OF,200002.OF,024637.OF,007096.OF,660008.OF,007045.OF,165309.SZ,022949.OF,022543.OF,005530.OF,010556.OF,004788.OF,022964.OF,002385.OF,563520.SH,004342.OF,005850.OF,000311.OF,021737.OF,022922.OF,003548.OF,162213.OF,160724.OF,010855.OF,020352.OF,025932.OF,003579.OF,020220.OF,008239.OF,001015.OF,000656.OF,023608.OF,159330.SZ,160615.SZ,021635.OF,006131.OF,022917.OF,005870.OF,025501.OF,025502.OF,007448.OF,167601.OF,008391.OF,016134.OF,515660.SH,460300.OF,008390.OF,024855.OF,024856.OF,000512.OF,002063.OF,007539.OF,012912.OF,673100.OF,673101.OF,021494.OF,024636.OF,005658.OF,510320.SH,022890.OF,005248.OF,008184.OF,022983.OF,009059.OF,012911.OF,561930.SH,005639.OF,015061.OF,015062.OF,83188.HK,024186.OF,3130.HK,83130.HK,022914.OF,561300.SH,024626.OF,022948.OF,022928.OF,024415.OF,024416.OF,007144.OF,025676.OF,025677.OF,270010.OF,022824.OF,026275.OF,025705.OF,007339.OF,KCAI.P,161811.SZ,159393.SZ,008927.OF,008777.OF,024158.OF,022906.OF,020160.OF,003885.OF,011545.OF,011546.OF,561000.SH,022309.OF,024627.OF,006937.OF,000613.OF,010352.OF,003884.OF,510360.SH,159919.SZ,3188.HK,022940.OF,005102.OF,022699.OF,015906.OF,9846.HK,010736.OF,007230.OF,510380.SH,007538.OF,561990.SH,015387.OF,015388.OF,CHAU.P,159238.SZ,015671.OF,013120.OF,007404.OF,025010.OF,021757.OF,016205.OF,009208.OF,163407.SZ,2846.HK,510300.SH,510350.SH,519300.OF,008592.OF,008593.OF,008776.OF,024011.OF,024012.OF,021847.OF,021848.OF,ASHR.P,006939.OF,015278.OF,025706.OF,014372.OF,021758.OF,510370.SH,515130.SH,014165.OF,014166.OF,005137.OF,2827.HK,025008.OF,100038.OF,020221.OF,019210.OF,110030.OF,004513.OF,004512.OF,006600.OF,010872.OF,010873.OF,025329.OF,960022.OF,515350.SH,202015.OF,159300.SZ,017925.OF,022955.OF,012206.OF,012207.OF,022600.OF,015679.OF,009060.OF,005867.OF,024576.OF,024577.OF,110020.OF,022504.OF,022505.OF,021103.OF,159925.SZ,023060.OF,003957.OF,003958.OF,450008.OF,000961.OF,005918.OF,310318.OF,007804.OF,010908.OF,010909.OF,510330.SH,016690.OF,160807.SZ,RQFI.DY,XCHA.L,XCHA.SIX,XCHA.DY,RQFI.SIX,ASHR.L,022962.OF,023423.OF,166802.OF,004881.OF,515330.SH,022936.OF,022859.OF,022860.OF,023291.OF,1322.T,019656.OF,005152.OF,023290.OF,013291.OF,021877.OF,021878.OF,025378.OF,025379.OF,022908.OF,010737.OF,025882.OF,022867.OF,004190.OF,004191.OF,204480.KS,010311.OF,82846.HK,024313.OF,022973.OF,004789.OF,025480.OF,025481.OF",0.1500,0.0500,0.2 ,
563360.SH,A500ETF华泰柏瑞,000510.SH,中证A500,Stock,Y,"022688.OF,022689.OF,023876.OF,023341.OF,159360.SZ,022804.OF,022805.OF,022432.OF,023619.OF,023620.OF,022429.OF,022687.OF,022428.OF,022455.OF,159358.SZ,159215.SZ,025126.OF,022426.OF,022449.OF,024650.OF,022745.OF,023514.OF,025035.OF,022904.OF,023880.OF,022706.OF,022707.OF,023516.OF,023982.OF,022820.OF,022821.OF,024376.OF,023957.OF,159226.SZ,024353.OF,024075.OF,024076.OF,022424.OF,022425.OF,560610.SH,023304.OF,023842.OF,023484.OF,024274.OF,022966.OF,022431.OF,022430.OF,022931.OF,023502.OF,159376.SZ,022459.OF,022460.OF,023861.OF,022715.OF,022442.OF,023475.OF,023476.OF,025311.OF,022930.OF,022610.OF,563630.SH,024877.OF,022677.OF,022905.OF,022438.OF,022439.OF,023879.OF,025312.OF,022485.OF,022486.OF,022473.OF,022947.OF,022468.OF,023347.OF,023348.OF,159352.SZ,563600.SH,022469.OF,022467.OF,023342.OF,022894.OF,022971.OF,023331.OF,023332.OF,022444.OF,022445.OF,022697.OF,022698.OF,563650.SH,023544.OF,023545.OF,024275.OF,023877.OF,024878.OF,512050.SH,023494.OF,023495.OF,022942.OF,019510.OF,019511.OF,023399.OF,023400.OF,022902.OF,563360.SH,159339.SZ,560510.SH,022434.OF,023568.OF,023569.OF,022967.OF,023755.OF,023042.OF,023043.OF,2553.T,159361.SZ,159386.SZ,022463.OF,022464.OF,023319.OF,023320.OF,023483.OF,023306.OF,023305.OF,022465.OF,022466.OF,023333.OF,023334.OF,022781.OF,022782.OF,023184.OF,023185.OF,022762.OF,022763.OF,159353.SZ,022443.OF,022470.OF,023863.OF,023864.OF,025675.OF,022665.OF,022666.OF,025276.OF,025277.OF,022938.OF,022918.OF,159359.SZ,024816.OF,023154.OF,025420.OF,023819.OF,023820.OF,023865.OF,159338.SZ,024375.OF,023981.OF,023950.OF,023501.OF,023303.OF,023862.OF,022898.OF,023515.OF,023466.OF,023467.OF,022676.OF,022427.OF,022433.OF,023038.OF,023039.OF,022770.OF,512020.SH,560530.SH,023756.OF,159379.SZ,023522.OF,023523.OF,023669.OF,022435.OF,159351.SZ,023503.OF,023504.OF,563660.SH,024337.OF,023670.OF,022450.OF,022451.OF,022452.OF,024817.OF,024299.OF,512080.SH,023866.OF,024298.OF,023949.OF,159356.SZ,022817.OF,022818.OF,022911.OF,159357.SZ,563860.SH,023298.OF,023299.OF,022800.OF,022801.OF,025935.OF,022746.OF,159362.SZ,023326.OF,023325.OF,023958.OF,022440.OF,022441.OF,563800.SH,563880.SH,159380.SZ,023473.OF,023474.OF,563550.SH,022421.OF,022422.OF,022423.OF,022686.OF,022457.OF,022458.OF,560750.SH,023335.OF,023336.OF,022916.OF,024352.OF,023869.OF,022474.OF,023965.OF,022716.OF,022768.OF,022461.OF,022462.OF,512370.SH,022944.OF,022811.OF,022812.OF,024338.OF,025125.OF,022453.OF,022454.OF,023932.OF,023339.OF,022979.OF,025034.OF,023933.OF,023153.OF,563220.SH,022769.OF,023367.OF,023368.OF,026093.OF,023610.OF,023609.OF,022456.OF,022674.OF,022675.OF,XCSI.DY,XCSI.DF,XCSI.L,023022.OF,022759.OF,023870.OF,022448.OF,023668.OF,022670.OF,022671.OF,022771.OF,563500.SH,023340.OF,023517.OF,159249.SZ,023843.OF,026094.OF,025139.OF,022436.OF,022437.OF,022742.OF,022756.OF,022757.OF,561090.SH,023435.OF,023436.OF,024651.OF,159240.SZ,022982.OF,023023.OF",0.1500,0.0500,0.2 ,
510050.SH,上证50ETF,000016.SH,上证50,Stock,N,"001051.OF,110003.OF,510680.SH,510050.SH,399001.OF,530050.SH,004746.OF,008056.OF,JK8.SG,005880.OF,006220.OF,008240.OF,012875.OF,005881.OF,005733.OF,530000.SH,510600.SH,022959.OF,005737.OF,014980.OF,510950.SH,012157.OF,001549.OF,008057.OF,510710.SH,007379.OF,510100.SH,510800.SH,019546.OF,007380.OF,021722.OF,021723.OF,006221.OF,013444.OF,563090.SH,040190.OF,022933.OF,008241.OF,022956.OF,001548.OF,3024.HK,510850.SH,012158.OF,502048.SH,001237.OF,510190.SH,024383.OF,024384.OF",0.1500,0.0500,0.2 ,
510500.SH,中证500ETF,000905.SH,中证500,Stock,Y,"002906.OF,003760.OF,660011.OF,164809.OF,022790.OF,022791.OF,022992.OF,007994.OF,002316.OF,014133.OF,014134.OF,025419.OF,025043.OF,025007.OF,501036.SH,019808.OF,006382.OF,006938.OF,021170.OF,021171.OF,006656.OF,070039.OF,006730.OF,006087.OF,025038.OF,159820.SZ,022921.OF,006594.OF,010992.OF,510530.SH,006611.OF,004945.OF,003761.OF,159500.SZ,010993.OF,515190.SH,515550.SH,510500.SH,005994.OF,023498.OF,510560.SH,023826.OF,023827.OF,008778.OF,008779.OF,007995.OF,560950.SH,022957.OF,012498.OF,008258.OF,013332.OF,510570.SH,022946.OF,563750.SH,001455.OF,016267.OF,018117.OF,590007.OF,022919.OF,159982.SZ,008112.OF,512500.SH,022943.OF,013640.OF,016854.OF,016866.OF,025982.OF,023822.OF,007223.OF,502000.SH,022961.OF,002510.OF,007794.OF,005062.OF,159610.SZ,022988.OF,016865.OF,011964.OF,011965.OF,159968.SZ,016969.OF,007413.OF,016268.OF,012499.OF,001351.OF,000962.OF,007386.OF,002076.OF,162216.SZ,002903.OF,515530.SH,025334.OF,004192.OF,004193.OF,001050.OF,519034.OF,003016.OF,019554.OF,501037.SH,003986.OF,022893.OF,004348.OF,510550.SH,510590.SH,013878.OF,013879.OF,008124.OF,561550.SH,000008.OF,006441.OF,005633.OF,011205.OF,010153.OF,010154.OF,009300.OF,023192.OF,023198.OF,022913.OF,001052.OF,015507.OF,015508.OF,007885.OF,007886.OF,001556.OF,001557.OF,007028.OF,025013.OF,025014.OF,014155.OF,014156.OF,006214.OF,006215.OF,026059.OF,026060.OF,019553.OF,009336.OF,009337.OF,021052.OF,008001.OF,015453.OF,005919.OF,160119.SZ,024179.OF,561350.SH,013119.OF,025111.OF,024556.OF,014587.OF,014588.OF,025418.OF,009004.OF,021852.OF,013233.OF,013234.OF,022958.OF,159922.SZ,010355.OF,006682.OF,016935.OF,010158.OF,021051.OF,009608.OF,008113.OF,023142.OF,022937.OF,022909.OF,007943.OF,009613.OF,014305.OF,014306.OF,006657.OF,012926.OF,022915.OF,002311.OF,012927.OF,009614.OF,563030.SH,005795.OF,024332.OF,024333.OF,019694.OF,006048.OF,024180.OF,005965.OF,005966.OF,008259.OF,005607.OF,018116.OF,006729.OF,160616.SZ,022965.OF,162711.SZ,021186.OF,022311.OF,022312.OF,023821.OF,025335.OF,000478.OF,021059.OF,010157.OF,021185.OF,021175.OF,021176.OF,510580.SH,161017.SZ,012080.OF,012081.OF,001214.OF,018633.OF,018634.OF,007932.OF,001241.OF,014344.OF,014345.OF,010253.OF,009609.OF,510510.SH,007029.OF,005608.OF,007795.OF,016968.OF,023143.OF,512510.SH,022567.OF,002907.OF,561950.SH,013881.OF,008396.OF,008397.OF,006593.OF,159337.SZ,220130.KS,560100.SH,165511.SZ,003578.OF,022953.OF,022819.OF,021887.OF,006440.OF,159678.SZ,013639.OF,159935.SZ,025983.OF,025984.OF,007089.OF,015454.OF,026083.OF,026084.OF",0.1500,0.0500,0.2 ,
159915.SZ,创业板ETF易方达,399006.SZ,创业板指,Stock,N,"006249.OF,010785.OF,020871.OF,020872.OF,050021.OF,004343.OF,022340.OF,022341.OF,022960.OF,159908.SZ,023381.OF,025171.OF,159915.SZ,159810.SZ,159964.SZ,007664.OF,159958.SZ,024857.OF,160637.SZ,159205.SZ,015673.OF,025376.OF,159948.SZ,163209.OF,025238.OF,159971.SZ,021032.OF,012901.OF,159952.SZ,018370.OF,013443.OF,110026.OF,002656.OF,003765.OF,159808.SZ,007665.OF,005874.OF,021739.OF,009013.OF,159977.SZ,006248.OF,021811.OF,021810.OF,022912.OF,009047.OF,001879.OF,010786.OF,006733.OF,009012.OF,025196.OF,025009.OF,010183.OF,012180.OF,024492.OF,018371.OF,012179.OF,022920.OF,025164.OF,025165.OF,159675.SZ,159821.SZ,015600.OF,024063.OF,012900.OF,159676.SZ,004744.OF,159956.SZ,025377.OF,022952.OF,015795.OF,022907.OF,020870.OF,015794.OF,159957.SZ,010356.OF,005390.OF,005391.OF,003766.OF,009046.OF,009981.OF,024858.OF,001592.OF,009982.OF,001593.OF,CXS.SG,CXU.SG,161022.OF,013277.OF,CNXT.P,005873.OF,019105.OF,025170.OF,004870.OF,019817.OF,161613.OF,022896.OF,025195.OF,024064.OF,006928.OF,3147.HK,83147.HK,256450.KS,256750.KS,160223.SZ,026151.OF,026152.OF",0.1500,0.0500,0.2 ,
512100.SH,中证1000ETF,000852.SH,中证1000,Stock,Y,"017094.OF,018013.OF,019555.OF,004194.OF,004195.OF,016777.OF,561280.SH,016634.OF,018661.OF,018662.OF,019556.OF,015148.OF,006165.OF,016962.OF,022822.OF,016963.OF,021116.OF,003646.OF,159633.SZ,016942.OF,016643.OF,GRO.SG,GRU.SG,017191.OF,019403.OF,017095.OF,016936.OF,015867.OF,003647.OF,159679.SZ,159685.SZ,017644.OF,161039.SZ,512100.SH,018157.OF,018158.OF,019270.OF,017505.OF,006166.OF,014201.OF,014202.OF,005313.OF,017734.OF,560590.SH,006486.OF,006487.OF,005314.OF,017068.OF,560110.SH,016943.OF,017733.OF,013442.OF,017645.OF,159629.SZ,016633.OF,013922.OF,013923.OF,011861.OF,016630.OF,159680.SZ,015466.OF,015467.OF,017920.OF,018062.OF,018063.OF,561780.SH,015784.OF,015785.OF,017067.OF,014832.OF,016937.OF,014831.OF,015495.OF,015496.OF,016631.OF,560010.SH,014125.OF,014126.OF,017190.OF,017323.OF,516300.SH,017919.OF,015868.OF,018014.OF,159845.SZ,017846.OF,017161.OF,017162.OF,019271.OF,017953.OF,019185.OF,017506.OF,016786.OF,021745.OF,013331.OF,159677.SZ,015149.OF,019186.OF,017847.OF,019240.OF,016776.OF,022685.OF,019241.OF,011860.OF,017954.OF,019402.OF,561590.SH,016785.OF,024091.OF,018233.OF,017324.OF,018234.OF",0.1500,0.0500,0.2 ,
588000.SH,科创50ETF,000688.SH,科创50,Stock,N,"018177.OF,021484.OF,9151.HK,588280.SH,011614.OF,588950.SH,024606.OF,023055.OF,021908.OF,021909.OF,022969.OF,588370.SH,588450.SH,020874.OF,021768.OF,3109.HK,020714.OF,020715.OF,589150.SH,3151.HK,013811.OF,588060.SH,588050.SH,2832.HK,82832.HK,022728.OF,013893.OF,013894.OF,024980.OF,588460.SH,588940.SH,022895.OF,011612.OF,011610.OF,022932.OF,024000.OF,024001.OF,011615.OF,588090.SH,021485.OF,023437.OF,018178.OF,013810.OF,588720.SH,018145.OF,023438.OF,023056.OF,020750.OF,589850.SH,020873.OF,KSTR.P,022950.OF,83151.HK,017188.OF,017189.OF,588040.SH,024981.OF,019386.OF,588080.SH,011608.OF,022945.OF,025027.OF,022679.OF,588150.SH,011611.OF,588180.SH,022729.OF,588870.SH,019385.OF,011609.OF,025028.OF,019767.OF,588000.SH,019768.OF,KSTP.L,KSTR.L,588840.SH,024605.OF,011613.OF,416090.KS,415760.KS,415340.KS,414780.KS,018146.OF,025727.OF,025728.OF",0.1500,0.0500,0.2 ,
515450.SH,红利低波50ETF,SPCLLHCP.SPI,标普中国A股大盘红利低波50,Stock,Y,"008163.OF,515450.SH,021056.OF,008164.OF",0.5000,0.1000,0.6 ,
159758.SZ,红利质量ETF,931468.CSI,红利质量,Stock,Y,"024263.OF,016441.OF,159758.SZ,016440.OF",0.1500,0.0500,0.2 ,
512880.SH,证券ETF,399975.SZ,证券公司,Stock,N,"159260.SZ,007531.OF,012590.OF,012700.OF,502010.SH,515010.SH,562870.SH,021556.OF,512570.SH,007992.OF,023766.OF,160516.OF,025779.OF,025780.OF,016842.OF,021029.OF,008591.OF,016843.OF,012362.OF,013276.OF,501047.SH,512000.SH,159842.SZ,501048.SH,014984.OF,512880.SH,161027.SZ,012044.OF,502053.SH,006098.OF,025141.OF,007993.OF,160419.OF,161720.SZ,160633.SZ,012363.OF,159841.SZ,560090.SH,516200.SH,515850.SH,008590.OF,018686.OF,004070.OF,004069.OF,013597.OF,025194.OF,159848.SZ,025193.OF,022509.OF,515560.SH,512900.SH,012874.OF",0.5000,0.1000,0.6 ,
159928.SZ,消费ETF,000932.SH,800消费,Stock,N,"021879.OF,159689.SZ,560680.SH,009179.OF,009180.OF,512600.SH,000248.OF,012857.OF,159928.SZ,159672.SZ",0.5000,0.1000,0.6 ,
512480.SH,半导体ETF,h30184.CSI,中证全指半导体,Stock,N,"007301.OF,007300.OF,512480.SH",0.5000,0.1000,0.6 ,
512800.SH,银行ETF,399986.SZ,中证银行,Stock,N,"512820.SH,512800.SH,161121.SZ,009860.OF,012547.OF,014028.OF,021129.OF,512700.SH,240019.OF,006697.OF,004597.OF,004598.OF,024642.OF,160418.OF,012042.OF,516310.SH,161029.SZ,014983.OF,008299.OF,016343.OF,007154.OF,161723.OF,018591.OF,025130.OF,011971.OF,011972.OF,516210.SH,160517.OF,515290.SH,515020.SH,512730.SH,160631.SZ,159253.SZ,021013.OF,007153.OF,013330.OF,001594.OF,001595.OF,008298.OF",0.5000,0.1000,0.6 ,
512660.SH,军工ETF,399967.SZ,中证军工,Stock,N,"512660.SH,000596.OF,512560.SH,021948.OF,161024.SZ,012842.OF,502003.SH,163115.SZ,013035.OF,512680.SH,512810.SH,005693.OF,003017.OF,002199.OF,016209.OF",0.5000,0.1000,0.6 ,
512010.SH,医药ETF易方达,000913.SH,300医药,Stock,N,"512010.SH,007883.OF,001344.OF",0.5000,0.1000,0.6 ,
512400.SH,有色金属ETF,000819.SH,有色金属,Stock,N,"021021.OF,004433.OF,010990.OF,004432.OF,512400.SH",0.5000,0.1000,0.6 ,
515220.SH,煤炭ETF,399998.SZ,中证煤炭,Stock,N,"016814.OF,008279.OF,161032.SZ,168204.SZ,515220.SH,022501.OF,013275.OF,008280.OF",0.5000,0.1000,0.6 ,
512200.SH,房地产ETF,931775.CSI,中证全指房地产,Stock,N,"024628.OF,008088.OF,008089.OF,512200.SH,021002.OF,004642.OF,004643.OF,010989.OF,515060.SH",0.5000,0.1000,0.6 ,
159611.SZ,电力ETF,h30199.CSI,电力指数,Stock,N,"018173.OF,018172.OF,021753.OF,561560.SH,159611.SZ,016185.OF,017482.OF,017481.OF,021752.OF,560580.SH,016186.OF,561700.SH,562350.SH",0.5000,0.1000,0.6 ,
159995.SZ,芯片ETF,980017.CNI,国证芯片(CNI),Stock,N,"008887.OF,008888.OF,022863.OF,021945.OF,159813.SZ,012629.OF,012630.OF,159665.SZ,012969.OF,012970.OF,159801.SZ,159995.SZ",0.5000,0.1000,0.6 ,
562500.SH,机器人ETF,h30590.CSI,机器人,Stock,N,"020289.OF,020290.OF,020255.OF,021895.OF,018095.OF,020256.OF,560770.SH,020482.OF,021896.OF,025552.OF,021301.OF,159551.SZ,020607.OF,020608.OF,159770.SZ,562500.SH,018094.OF,024768.OF,024769.OF,025553.OF,159258.SZ,560630.SH,018345.OF,020999.OF,020481.OF,024619.OF,024620.OF,018344.OF,014880.OF,014881.OF,562360.SH,159213.SZ,159526.SZ,021302.OF,024600.OF,024601.OF",0.5000,0.1000,0.6 ,
159819.SZ,人工智能ETF易方达,930713.CSI,CS人工智,Stock,N,"159248.SZ,008585.OF,008586.OF,009239.OF,011839.OF,011840.OF,011832.OF,011833.OF,023461.OF,023462.OF,024610.OF,159819.SZ,023384.OF,512930.SH,023385.OF,012733.OF,012734.OF,515070.SH,021580.OF,161631.SZ",0.1500,0.0500,0.2 ,
159870.SZ,化工ETF,000813.CSI,细分化工,Stock,N,"015896.OF,015897.OF,159133.SZ,014943.OF,013527.OF,013528.OF,012537.OF,012538.OF,159129.SZ,516020.SH,159870.SZ,019590.OF,014942.OF,020273.OF,020274.OF,516120.SH,516220.SH,021977.OF,021978.OF,019589.OF,022792.OF",0.5000,0.1000,0.6 ,
512070.SH,证券保险ETF易方达,h30035.CSI,300非银,Stock,N,"512070.SH,000950.OF,007882.OF",0.5000,0.1000,0.6 ,
159755.SZ,电池ETF,980032.CNI,新能电池,Stock,N,"025916.OF,025917.OF,015873.OF,015874.OF,159767.SZ,018380.OF,018379.OF,159775.SZ,159755.SZ,013179.OF,013180.OF,159757.SZ,159840.SZ",0.5000,0.1000,0.6 ,
515790.SH,光伏ETF,931151.CSI,光伏产业,Stock,N,"015993.OF,015994.OF,515370.SH,012929.OF,012679.OF,012680.OF,013816.OF,516290.SH,159618.SZ,159864.SZ,021947.OF,159857.SZ,018502.OF,024618.OF,3134.HK,011966.OF,011967.OF,011103.OF,516180.SH,159123.SZ,024059.OF,024060.OF,562970.SH,516880.SH,021084.OF,021085.OF,159609.SZ,017647.OF,019531.OF,012364.OF,012365.OF,013602.OF,021698.OF,013601.OF,012928.OF,013817.OF,012722.OF,012723.OF,022862.OF,515790.SH,017646.OF,014604.OF,014605.OF,019532.OF,011102.OF,012885.OF,012886.OF,018503.OF,413220.KS,159863.SZ",0.5000,0.1000,0.6 ,
159992.SZ,创新药ETF,931152.CSI,CS创新药,Stock,N,"159835.SZ,560900.SH,019667.OF,021098.OF,516060.SH,012781.OF,012782.OF,022104.OF,159858.SZ,012738.OF,516080.SH,159992.SZ,515120.SH,019666.OF,021097.OF,012737.OF",0.5000,0.0500,0.6 ,
515880.SH,通信ETF,931160.CSI,通信设备,Stock,N,"515880.SH,007817.OF,007818.OF,020899.OF,020691.OF,020692.OF,020900.OF,022500.OF",0.5000,0.1000,0.6 ,
159869.SZ,游戏ETF,930901.CSI,动漫游戏,Stock,N,"159869.SZ,516010.SH,012768.OF,012769.OF,023715.OF,012728.OF,012729.OF,516770.SH,022481.OF",0.5000,0.1000,0.6 ,
159851.SZ,金融科技ETF,930986.CSI,金融科技,Stock,N,"516100.SH,563670.SH,516860.SH,159103.SZ,515720.SH,023884.OF,023885.OF,013477.OF,013478.OF,159299.SZ,023537.OF,023536.OF,563570.SH,159851.SZ",0.5000,0.1000,0.6 ,
511010.SH,国债ETF,000140.SH,上证5年国债,Bond,Y,511010.SH,0.1500,0.0500,0.2 ,
511260.SH,十年国债ETF,h01077.SH,上证10年国债(净),Bond,Y,511260.SH,0.1500,0.0500,0.2 ,
511090.SH,30年国债ETF,CBA21801.CS,中债-30年期国债财富(总值)指数,Bond,Y,511090.SH,0.1500,0.0500,0.2 ,
511220.SH,城投债ETF,h11098.SH,沪城投债,Bond,N,511220.SH,0.1500,0.0700,0.2 ,
511030.SH,公司债ETF,CBC00702.CS,中债-中高等级公司债利差因子净价(总值)指数,Bond,Y,511030.SH,0.1500,0.0500,0.2 ,
511190.SH,信用债ETF,950245.CSI,沪做市公司债,Bond,Y,"511070.SH,511190.SH,511200.SH,511110.SH",0.1500,0.0500,0.2 ,
511380.SH,可转债ETF,931078.CSI,中证转债及可交换债,Bond,Y,511380.SH,0.1500,0.0500,0.2 ,
159980.SZ,有色ETF大成,IMCI.SHF,上期有色金属指数,Commodity,Y,"159980.SZ,007911.OF,007910.OF",0.6000,0.1000,0.7 ,
159985.SZ,豆粕ETF,DCESMFI.DCE,大商所豆粕期货价格指数,Commodity,Y,"159985.SZ,007937.OF,007938.OF",0.5000,0.1000,0.6 ,
159981.SZ,能源化工ETF,000201.CZC,易盛能化A,Commodity,Y,"159981.SZ,008827.OF,008828.OF",0.5000,0.1000,0.6 ,
518880.SH,黄金ETF,Au9999.SGE,SGE黄金9999,Gold,Y,"002610.OF,020341.OF,159812.SZ,518850.SH,518660.SH,008142.OF,000930.OF,000218.OF,000216.OF,008143.OF,518800.SH,009198.OF,021740.OF,002611.OF,022653.OF,159937.SZ,000217.OF,021499.OF,008702.OF,518880.SH,000929.OF,002963.OF,004253.OF,000307.OF,022502.OF,159934.SZ,008701.OF",0.5000,0.1000,0.6 ,
511360.SH,短融ETF,h11014.CSI,中证短融,Cash,Y,511360.SH,0.1500,0.0500,0.2 ,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
