CAGR (年化复合收益),Annual Volatility (年化波动率),Sharpe Ratio (夏普比率),Calmar Ratio (Calmar比率),Sortino Ratio (索提诺比率),Max Drawdown (最大回撤),Max Drawdown Start (最大回撤开始日),Max Drawdown End (最大回撤结束日),Annual Return 2013 (年度收益率),Annual Return 2014 (年度收益率),Annual Return 2015 (年度收益率),Annual Return 2016 (年度收益率),Annual Return 2017 (年度收益率),Annual Return 2018 (年度收益率),Annual Return 2019 (年度收益率),Annual Return 2020 (年度收益率),Annual Return 2021 (年度收益率),Annual Return 2022 (年度收益率),Annual Return 2023 (年度收益率),Annual Return 2024 (年度收益率),Annual Return 2025 (年度收益率),Rebalance Win Rate (换仓胜率),Rebalance Odds (盈亏比),simulation_id,start_date,end_date,test_days,Annual Return 2012 (年度收益率)
0.08553078115464774,0.067906480841321,0.9481942048339038,0.7079128339618829,1.3188448840237907,-0.1208210630621977,2015-06-03,2015-09-15,-0.03535975786917589,0.1358436655030868,0.02936292607172497,0.14344441266609942,0.03191258294428234,0.005470368645871249,0.13222289063338,0.09482680858837034,0.06024920090008301,0.08322028762297418,0.054962963510964524,0.1083793501205641,0.180123384750156,0.6129032258064516,5.647286842299272,0,2013-07-25,2016-01-15,606,
0.07750012748319857,0.051721335877427506,1.0825766234258938,1.309728369531282,1.4808367971720142,-0.059172672201438126,2020-02-24,2020-03-19,,,,,,,0.040261938971593025,0.07660607322019697,0.06365290051974326,0.02595460171154018,0.03735122400912805,0.10761256292747734,0.12430046564996222,0.5952380952380952,3.435168392315874,1,2019-06-27,2022-11-16,824,
0.07186574580662985,0.04827160102123454,1.0477241527066947,1.476823517818325,1.4133837555693987,-0.04866237904498931,2023-09-04,2024-02-05,,,,,,,,,0.021966575037103198,0.026035898351941755,0.03813516018203211,0.10140576391113254,0.11722564725918194,0.6595744680851063,1.766604625169695,2,2021-07-14,2025-05-08,923,
0.06705075008035011,0.05059817545379749,0.9128187915062868,1.1331370983567026,1.292092449315136,-0.0591726722014383,2020-02-24,2020-03-19,,,,-0.014710003027413432,0.0216638290198079,0.0010245781152840028,0.1271434405797911,0.07656384573748554,0.06124678357667368,0.04503276384062915,0.04244063655254404,0.09780169561129748,0.1254917557675641,0.6086956521739131,3.8337560734287606,3,2016-11-16,2020-08-20,918,
0.0762059097740726,0.048148044839062744,1.134241509244903,1.566012826944201,1.5143452441400966,-0.04866237904498844,2023-09-04,2024-02-05,,,,,,,,,0.015954695869550672,0.02603589835194131,0.03813516018203211,0.10254220316731133,0.11237071200595694,0.5428571428571428,3.272186371874292,4,2021-11-18,2024-09-24,693,
0.07617652507672634,0.051714989050313534,1.0589268113360886,1.287359895077959,1.4846789564844443,-0.059172672201438514,2020-02-24,2020-03-19,,,,,0.005550734291135395,0.0010254400376805695,0.12714344057979288,0.07641765166941794,0.06113521895907392,0.045138885750251934,0.04250181432012523,0.0980844356539714,0.12609784853449524,0.65625,5.099997051188077,5,2017-12-06,2020-07-23,639,
0.07776371325157938,0.04903888535946612,1.1440236910796,1.5980253077985598,1.5817796732020197,-0.04866237904498941,2023-09-04,2024-02-05,,,,,,,,0.030142647207676676,0.06365290051974282,0.026035898351940645,0.038135160182032335,0.10140929229143625,0.12051494533642848,0.6153846153846154,2.3058086062192933,6,2020-09-28,2024-12-09,1016,
0.06742272524078952,0.04978447351558664,0.9339200569364328,1.1394233644082525,1.3229997106235796,-0.059172672201438306,2020-02-24,2020-03-19,,,,,0.008274446616084896,0.0010245781152844469,0.127143440579794,0.07697011501885354,0.0625115306811106,0.04043578757833943,0.040623759666410075,0.09543951298231623,0.11799505186325998,0.6170212765957447,3.506114044119541,7,2017-01-16,2020-11-12,930,
0.07119658002796192,0.051170389683833584,0.9789776226620187,1.203200352108338,1.413325526858874,-0.05917267220143837,2020-02-24,2020-03-19,,,,0.08097778642144005,0.02166382901980901,0.0010245781152833366,0.12714344057979288,0.07660607322019697,0.0631854991008225,0.03732804914057275,0.03938154869898791,0.09440066669277125,0.11440477519185621,0.6166666666666667,3.2180325486835937,8,2016-03-17,2021-02-02,1192,
0.07703247962303128,0.06479865070687522,0.8691603110991811,0.6375749200565761,1.1952139209330621,-0.12082106306219775,2015-06-03,2015-09-15,-0.06410030018814838,0.13584366550308724,0.02936292607172386,0.13898696929023413,0.025621401729705173,0.006606937102561439,0.12783644028307184,0.08729684660157244,0.05455769224255658,0.06901922471618893,0.05105658188017759,0.11100162721981466,0.1729220334133461,0.5961538461538461,3.245202203596306,11,2013-04-19,2017-07-27,1041,
0.08715250932908014,0.06797534420367368,0.9692712181789739,0.7213353956686761,1.3455267127670907,-0.12082106306219728,2015-06-03,2015-09-15,-0.03113554258436879,0.13584366550308702,0.029362926071725193,0.14341842193746213,0.03134459605416895,0.006921087648566582,0.13174742501024395,0.09412649181578736,0.05966487297958789,0.08422622824187997,0.055643731256317386,0.10950803339972381,0.1812401446558023,0.6451612903225806,4.71378476249715,12,2013-09-17,2016-03-29,615,
0.07508780101399459,0.06500763906669262,0.8387669405038317,0.6214793936661521,1.1571660219950877,-0.12082106306219777,2015-06-03,2015-09-15,-0.06400877359518375,0.1358436655030888,0.029362926071724527,0.13923728391524337,0.027623409614570882,0.006039982883454975,0.12686638939574135,0.08869699933059572,0.055877937930572275,0.07282495474696504,0.051563200019780986,0.10674384789985347,0.17050336154975,0.5918367346938775,3.3995085482383214,13,2012-09-27,2016-09-19,965,0.010826755317230763
0.07184656433756897,0.050009032681198294,1.0126746470897539,1.2141848874592875,1.4188332515257231,-0.05917267220143854,2020-02-24,2020-03-19,,,,,,-0.004515757951712551,0.12714344057979132,0.07660607322019697,0.0636529005197417,0.026537997016553128,0.03651185340119212,0.10120810874214459,0.11667794999780279,0.6226415094339622,2.9397374526813387,16,2018-01-17,2022-05-17,1048,
0.07089281848091855,0.0600810469954972,0.8373287382838825,0.5867587710631492,1.1229333939462987,-0.120821063062198,2015-06-03,2015-09-15,,,0.013159812777718827,0.1389869692902337,0.02168577683711681,0.004090537299918928,0.12042488908797822,0.07719986997396955,0.059279783169173816,0.04140718720718106,0.04158221620446323,0.10428893692212493,0.13632154452365008,0.5714285714285714,3.8505801139803673,17,2015-01-28,2017-11-13,681,
0.08986194230827826,0.04672055951769518,1.4374046853693565,1.8466409590291646,1.9207391694294234,-0.04866237904498849,2023-09-04,2024-02-05,,,,,,,,,,0.00576809186863203,0.038135169503557,0.10140576391112965,0.11539674361159613,0.7222222222222222,1.6945455894757857,18,2022-12-01,2025-11-05,709,
0.07918356195308718,0.050756703107056926,1.1329430910106766,1.3381778954231875,1.5703610670736134,-0.059172672201438535,2020-02-24,2020-03-19,,,,,,-0.0015004669475334742,0.12714344057979354,0.07660607322019786,0.0636529005197426,0.0260358983519402,0.03757806621182014,0.10891746432972105,0.1274499980953212,0.625,2.823472752096601,19,2018-07-03,2023-02-06,1115,
0.06489815885304817,0.05002468163408873,0.8823310187301108,1.0967589672495905,1.240047067128242,-0.05917267220143843,2020-02-24,2020-03-19,,,,-0.0026209468494552413,0.021663829019809233,0.001024578115284669,0.12714344057979265,0.07661383856363835,0.0629258012475089,0.03853636075716804,0.039848599129973516,0.09481241961032949,0.11593327487436023,0.6226415094339622,3.0952583507964397,20,2016-08-29,2020-11-30,1034,
0.08730489024297716,0.04759426506462148,1.3625103579552138,1.794094163835717,1.798149433339265,-0.048662379044989504,2023-09-04,2024-02-05,,,,,,,,,,,0.022630026481199828,0.10140576391112988,0.11722564725918105,0.6785714285714286,1.987741627648147,21,2023-02-20,2025-05-26,548,
0.07716433854871729,0.06019473987540182,0.9328862679276685,0.6386662771622348,1.272164218027528,-0.12082106306219753,2015-06-03,2015-09-15,,0.11221542674432339,0.02936292607172586,0.13898696929023213,0.021663829019808123,0.0036274283570736365,0.12091887835938264,0.07693319391778886,0.05908612980558847,0.03945444546814669,0.04103452571901678,0.10525329695198904,0.13642725906555953,0.625,3.3408643212485303,22,2014-02-21,2018-01-15,956,
0.06032774435382415,0.061925967682860496,0.6540586027476815,0.4304933696724551,0.8783259785620341,-0.14013629152924023,2015-06-02,2015-08-25,-0.0640087735951842,0.13585484719398777,0.03125341004785409,0.08561655247218325,0.021147467708234835,0.00046048066599047033,0.12426098432679744,0.0818068569858621,0.0712523648091623,0.041645585402035,0.04090841504991083,0.09983698962635779,0.12599792707772828,0.5,7.221652770898919,23,2012-05-22,2014-12-09,621,0.010252744893036736
0.07681356740216505,0.06669076080971331,0.843318444734722,0.6114184415232884,1.1723997962451085,-0.12563174772875949,2015-06-03,2015-08-26,-0.056472583500283946,0.13584366550308746,0.0319041111247218,0.12640773501942681,0.032249271390696777,0.00028535469646273626,0.1294959447305395,0.09357290069825352,0.06629129240221654,0.07180584523548661,0.049578668902192424,0.09865096076994417,0.1576310298894168,0.6538461538461539,5.309659490564914,24,2013-06-06,2015-07-29,524,
0.07941830558639817,0.05084014082485456,1.1354462046162443,1.342144990782896,1.5757526557600294,-0.05917267220143788,2020-02-24,2020-03-19,,,,,,0.003013348275790806,0.127143440579794,0.07660607322019675,0.06365290051974237,0.026035898351940645,0.03740829771511778,0.10966009015150258,0.12882741126232755,0.6229508196721312,2.714272578298303,25,2018-06-20,2023-06-26,1218,
0.07858074075954069,0.05431789592516735,1.051816298620991,1.3181887072319973,1.5048517866169386,-0.05961266420234225,2020-02-24,2020-03-19,,,-0.00487567536772282,0.1389906458764678,0.021663829019808345,0.001024578115284669,0.1271434405797922,0.0779194484345449,0.05905465707402713,0.05254333879937523,0.04536254166648912,0.1020532961770384,0.13903346151667573,0.5882352941176471,4.711710579143572,26,2015-12-21,2020-02-04,1002,
0.0907483301946852,0.049180153166950576,1.3844453159872554,1.8648560135292072,1.8038200568203535,-0.048662379044988886,2023-09-04,2024-02-05,,,,,,,,,,,-8.859019287910108e-05,0.10140576391113076,0.11576608373526787,0.7241379310344828,1.6216145675543197,27,2023-06-29,2025-10-17,558,
0.08415463326828743,0.04715879648587521,1.313110378170153,1.729357152688451,1.7903681553105377,-0.048662379044988484,2023-09-04,2024-02-05,,,,,,,,,,0.0028850299706155713,0.038135160182033,0.10140576391113099,0.11906975110993812,0.6451612903225806,2.117609271607782,29,2022-09-08,2025-03-21,611,
0.06790504803357655,0.04887500825402325,0.9596255178420747,1.1475744715805896,1.3516071316530576,-0.05917267220143792,2020-02-24,2020-03-19,,,,,0.009911794201965307,0.0010245781152844469,0.12714344057979132,0.07660607322019808,0.06351439109203838,0.029862039881598967,0.0370566072495917,0.09497589738074841,0.10871212527921204,0.6326530612244898,3.5331898855810975,30,2017-06-21,2021-06-23,976,
0.07585817725642152,0.05141857114756691,1.0589772460193727,1.2819799146163562,1.4734059977753697,-0.05917267220143831,2020-02-24,2020-03-19,,,,,,,0.0704594665672027,0.07660607322019675,0.06372245036896329,0.02770043611880557,0.03653131802297649,0.0972596735206408,0.11123576980070338,0.625,3.335700026993586,32,2019-04-08,2021-11-24,641,
0.07561921564821072,0.053139025137119135,1.022196576433155,1.2779415367753644,1.4847000814800282,-0.059172672201438126,2020-02-24,2020-03-19,,,0.010826045386920446,0.13898696929023435,0.021663829019807235,0.0010245781152837807,0.12714344057979265,0.07761763149792289,0.06251350254187416,0.04274278435808321,0.041247042844376525,0.09501205419427694,0.1197753223975988,0.6271186440677966,3.2569687422467806,34,2015-11-05,2020-08-31,1177,
0.07305072195499185,0.06426083394458822,0.8182409999805559,0.6046190962364397,1.1281921590072028,-0.12082106306219767,2015-06-03,2015-09-15,-0.06400877359518442,0.1358436655030888,0.02936292607172475,0.13898696929023213,0.025621401729706506,0.006606937102561883,0.12783644028307228,0.08729684660157333,0.054557692242556355,0.06901922471618871,0.05105658188017648,0.1110016272198151,0.172922033413345,0.5573770491803278,3.3516863826442873,35,2012-07-06,2017-07-27,1231,0.015195390439080247
0.07062674561118154,0.06073778572062766,0.8248349325781738,0.5845565650653444,1.1108876592269248,-0.12082106306219752,2015-06-03,2015-09-15,,,0.020723044118454714,0.13898696929023435,0.021663829019807457,-0.0015194389248980311,0.12404550635055922,0.07884721888833801,0.06015776886878155,0.03255023967969506,0.03790973711779588,0.10458557888867381,0.13507611080621174,0.6428571428571429,2.9106151401434226,37,2015-01-06,2018-06-26,847,
0.0733011573698259,0.06059784593582372,0.8677815765207315,0.6066918756714709,1.1674130240329101,-0.12082106306219788,2015-06-03,2015-09-15,,,0.023186094761327602,0.13898696929023213,0.022203863975424287,0.00496058652832021,0.12022395816837461,0.07764040352903834,0.0590744885724559,0.04433275647791102,0.04258980568937942,0.10413749622643542,0.1380437436136266,0.6176470588235294,3.506390052037713,38,2015-01-05,2017-10-17,679,
0.0789641570086086,0.06138764250579453,0.9431444717206728,0.6535628391877243,1.2918645539542692,-0.12082106306219706,2015-06-03,2015-09-15,-0.014340395632406744,0.13584366550308724,0.029362926071726303,0.13898696929023435,0.021663829019808567,0.0004929238012900683,0.12379285782860361,0.08042793460892383,0.057949986135350295,0.04633064982920665,0.04324422024115804,0.1070366860426386,0.14698124127357204,0.639344262295082,2.8579071204602853,39,2013-11-27,2018-11-08,1209,
0.09069349136672122,0.0677866076974581,1.019769442393019,0.7506430507074187,1.402732083041336,-0.12082106306219734,2015-06-03,2015-09-15,,0.1133012299213847,0.029362926071725193,0.14175897740873045,0.029626354854646708,0.00580560898324034,0.13280438353585877,0.0933135957847151,0.059668814982727136,0.07883962708220382,0.054140070533339024,0.11158600791082307,0.18028317219313772,0.7,3.9080535652353583,41,2014-02-25,2016-07-14,586,
0.07405724945635672,0.06109149296052613,0.8727850893876135,0.6129498249674589,1.203628082134112,-0.12082106306219824,2015-06-03,2015-09-15,-0.03715676433857529,0.13584366550308857,0.029362926071724527,0.13898696929023213,0.02166382901980679,-2.889207950906858e-05,0.12452843474606357,0.080891141046185,0.05880088259133465,0.04277358003128229,0.04161481681952739,0.10583204689139358,0.14431280781080114,0.6190476190476191,2.886745912724132,42,2013-07-22,2018-09-10,1257,
0.07569702201526263,0.06137576899577214,0.8938916189238353,0.626521734677128,1.2105328267942312,-0.12082106306219745,2015-06-03,2015-09-15,,0.04449548467448383,0.029362926071725415,0.13898696929023258,0.021663829019808123,-0.0015194389248988083,0.12404550635055767,0.07884721888833779,0.060157768868780215,0.03255023967969373,0.03790973711779433,0.10458557888867315,0.1350761108062124,0.6590909090909091,2.852834708558603,43,2014-11-24,2018-06-11,866,
0.07367609179624734,0.05133722807154812,1.0210157702971394,1.2451033400255445,1.43144226171448,-0.05917267220143816,2020-02-24,2020-03-19,,,,,-0.0071094119403734,0.0010245781152826705,0.1271434405797931,0.07618528154191129,0.06101490823018563,0.045199310632439316,0.04259310015102025,0.09835664712294889,0.12632153038882987,0.6363636363636364,4.959784657166408,44,2017-10-13,2020-06-16,652,
0.08426632454802152,0.0512520890765892,1.2141897151971017,1.710267083738983,1.6886408416006937,-0.049270856785595514,2023-09-04,2024-02-05,,,,,,,,0.0992266913639317,0.0636529005197417,0.02603589835193998,0.03740829771511689,0.10966009015150369,0.128827411262328,0.65,3.096363714687137,46,2020-03-20,2023-06-26,792,
0.08210892337356501,0.050955632607932906,1.181858593505381,1.3876156056303561,1.6446249428219524,-0.05917267220143806,2020-02-24,2020-03-19,,,,,,0.0022055652934449554,0.12716549838563984,0.0766060732201983,0.06365290051974193,0.02710757486648374,0.036430674536615415,0.09904059114027697,0.11353164802701698,0.675,3.0365419547895924,47,2018-12-20,2022-03-24,790,
0.06173257246462005,0.048957402820048034,0.8396616572734349,1.0432615288095668,1.180210416893493,-0.05917267220143847,2020-02-24,2020-03-19,,,,-0.017712062012272267,0.021663829019808567,0.0010245781152857791,0.1271434405797922,0.07660607322019608,0.06355392108082847,0.02743553868064641,0.0361927006609728,0.09518663895662871,0.10766023926443036,0.6101694915254238,2.7559609686029294,48,2016-10-24,2021-08-12,1173,
0.0740053842108439,0.052940072780093904,0.9974789029773001,1.214769635894546,1.3869854557581947,-0.06092133193331506,2020-02-24,2020-03-19,,,,,0.008832949560981573,0.001024578115284669,0.127213961505094,0.07868490839348241,0.05763842635167782,0.055191906031434756,0.046671942482434225,0.10519063820908192,0.14592871208550218,0.5714285714285714,6.6451560432000445,49,2017-01-17,2019-11-06,682,
