CAGR (年化复合收益),Annual Volatility (年化波动率),Sharpe Ratio (夏普比率),Calmar Ratio (Calmar比率),Sortino Ratio (索提诺比率),Max Drawdown (最大回撤),Max Drawdown Start (最大回撤开始日),Max Drawdown End (最大回撤结束日),Annual Return 2012 (年度收益率),Annual Return 2013 (年度收益率),Annual Return 2014 (年度收益率),Annual Return 2015 (年度收益率),Annual Return 2016 (年度收益率),Annual Return 2017 (年度收益率),Annual Return 2018 (年度收益率),Annual Return 2019 (年度收益率),Annual Return 2020 (年度收益率),Annual Return 2021 (年度收益率),Annual Return 2022 (年度收益率),Annual Return 2023 (年度收益率),Annual Return 2024 (年度收益率),Annual Return 2025 (年度收益率),Rebalance Win Rate (换仓胜率),Rebalance Odds (盈亏比),simulation_id,window_start,window_end
0.06239974311751939,0.06284607934869804,0.6764660852579738,0.4470587161817938,0.9159840604233284,-0.1395784062783934,2015-06-02,2015-08-26,0.033846472461389165,-0.06400877359518298,0.13584366550308746,0.0321672247506799,0.09090978095528257,0.023418460711983835,-0.0018921231833657348,0.12661718646986553,0.08488504827008225,0.07075419512260539,0.04455415737183532,0.04131114388545809,0.0994306219597243,0.13160493109728133,0.5405405405405406,5.47311809871371,0,2012-01-04,2015-01-04
0.07172687292234681,0.06594415732109923,0.7802915697319499,0.5709295159787608,1.0883504768307772,-0.12563174772876012,2015-06-03,2015-08-26,0.012380624675985663,-0.06400877359518353,0.13584366550308724,0.03190411112472069,0.12640773501942548,0.032249271390697,0.0002853546964640685,0.12949594473053905,0.09357290069825241,0.06629129240221632,0.0718058452354875,0.04957866890219398,0.09865096076994351,0.15763102988941435,0.5675675675675675,5.38301781632406,1,2012-07-04,2015-07-04
0.07913794565688881,0.06801291366007638,0.8599476699802941,0.6550012361350372,1.1914001642110748,-0.12082106306219774,2015-06-03,2015-09-15,,-0.0666843125163431,0.13584366550308724,0.029362926071724083,0.1434444126660981,0.031912582944281676,0.005470368645871693,0.1322228906333791,0.09482680858836967,0.06024920090008212,0.08322028762297373,0.05496296351096408,0.10837935012056543,0.180123384750154,0.5945945945945946,4.380040901602679,2,2013-01-04,2016-01-04
0.08504677643778713,0.06712341935631971,0.9518217660674201,0.7039068708905952,1.3223999366266097,-0.12082106306219809,2015-06-03,2015-09-15,,-0.026932837094572837,0.1358436655030879,0.02936292607172475,0.14175897740873022,0.029626354854646264,0.005805608983242561,0.13280438353586033,0.0933135957847151,0.059668814982726026,0.07883962708220493,0.054140070533340356,0.11158600791082329,0.1802831721931364,0.6486486486486487,4.0201937315708465,3,2013-07-04,2016-07-04
0.08841578822537022,0.06581520038880148,1.0165392972066656,0.7317911793232127,1.3927871677694075,-0.12082106306219813,2015-06-03,2015-09-15,,,0.12557434326621042,0.029362926071725637,0.13898696929023435,0.027176903796462426,0.006261203436922713,0.12775322078210505,0.08881623559768403,0.05511807414162151,0.07287832231060754,0.05185969678168245,0.10873562078938148,0.17360266480770914,0.6666666666666666,3.895362839480691,4,2014-01-04,2017-01-04
0.08716808053749392,0.06574736846632256,1.0000691521186935,0.7214642739289575,1.3637220084568324,-0.12082106306219863,2015-06-03,2015-09-15,,,0.08859925228330723,0.02936292607172386,0.1389869692902337,0.025621401729708504,0.006606937102562105,0.1278364402830714,0.08729684660157266,0.054557692242557465,0.06901922471618938,0.0510565818801767,0.11100162721981599,0.1729220334133439,0.6486486486486487,3.735970141920919,5,2014-07-04,2017-07-04
0.0720754031241424,0.05990570393560689,0.8580327297958439,0.5965466723880601,1.1495986628420587,-0.12082106306219836,2015-06-03,2015-09-15,,,,0.02330144925468791,0.13898696929023302,0.02166382901980679,0.0036274283570723043,0.12091887835938331,0.07693319391778819,0.059086129805588694,0.03945444546814669,0.041034525719017,0.10525329695199126,0.13642725906555753,0.6111111111111112,3.4492704369357448,6,2015-01-04,2018-01-04
0.07578675329798945,0.05636559653845045,0.9695872384100698,1.2904042513342728,1.3717459251465594,-0.05873101643893861,2020-02-24,2020-03-19,,,,0.031452552571680004,0.1389869692902339,0.021663829019808123,-0.0015232108819436263,0.12429379614538982,0.07964917992575171,0.06004173455699324,0.034998689870984645,0.03866494260661635,0.10439894397730054,0.1370376568623075,0.6111111111111112,5.23094980357835,7,2015-07-04,2018-07-04
0.08325328428510925,0.056040047480613524,1.0983525336727304,1.31688034313169,1.5501913155376124,-0.06322008276554843,2020-02-24,2020-03-19,,,,,0.1354273512942692,0.021663829019808567,0.001024578115284669,0.12440758866761259,0.08134626249848509,0.05575291706064189,0.05488679037431532,0.04685906728761857,0.11066284908098178,0.15737608800614367,0.5945945945945946,7.177991830496773,8,2016-01-04,2019-01-04
0.07245523348157912,0.054714945813939084,0.9404672685411275,1.1435420207862785,1.2895133059370463,-0.06336035944858434,2020-02-24,2020-03-19,,,,,-0.0077905827025577246,0.02166382901980679,0.0010245781152844469,0.12704287664338798,0.07972885541013919,0.05402038543178134,0.060014305248841104,0.049545744330596,0.11352043982896665,0.16155652560335687,0.6216216216216216,4.8220257064723295,9,2016-07-04,2019-07-04
0.07435777405645361,0.05260804255359508,1.0096783930690607,1.2303625531261286,1.40687302659437,-0.06043566090948067,2020-02-24,2020-03-19,,,,,,0.019241817742668976,0.0010245781152840028,0.127143440579792,0.07840664623868676,0.05833803748916844,0.05457696814189772,0.04623385568932337,0.10348378826675364,0.14282807701537004,0.5945945945945946,5.762407392325976,10,2017-01-04,2020-01-04
0.07363439891922008,0.05092359579494089,1.0281312595369427,1.244398743199402,1.4411534229395058,-0.05917267220143836,2020-02-24,2020-03-19,,,,,,0.00804797254556866,0.001024578115285113,0.1271434405797911,0.07641765166941794,0.061135218959071924,0.045138885750251934,0.042501814320122566,0.09808443565396963,0.12609784853449457,0.6486486486486487,4.975445401103836,11,2017-07-04,2020-07-04
0.07263801253228919,0.050687604740596325,1.0143569968266763,1.2275601190531351,1.429419706071854,-0.05917267220143785,2020-02-24,2020-03-19,,,,,,,-0.00393330056521124,0.12714344057979332,0.0766060732201983,0.06312870855165409,0.03750918505337131,0.0394883112098563,0.09447233171578762,0.11440036991974623,0.6756756756756757,3.471732352487072,12,2018-01-04,2021-01-04
0.07457386089421258,0.050245950358237056,1.0587250130757502,1.2602753622541238,1.487597725911942,-0.059172672201438625,2020-02-24,2020-03-19,,,,,,,0.0012047037015232576,0.12714344057979354,0.07660607322019675,0.06363187618039445,0.027145651148950733,0.036046946792765544,0.09473743472294016,0.10666138801448866,0.6216216216216216,3.8249295633394675,13,2018-07-04,2021-07-04
0.08032177760238723,0.05093507040238513,1.1498536444096554,1.3574133905758274,1.6022323008019586,-0.05917267220143893,2020-02-24,2020-03-19,,,,,,,,0.11789719280693833,0.07660607322019763,0.06365290051974304,0.027068471429588348,0.03643945234818746,0.09804675800444729,0.1118307108700618,0.6756756756756757,3.0513416839446643,14,2019-01-04,2022-01-04
0.07565727685377666,0.05154487985785624,1.0528861463071744,1.2785847594683732,1.4453710448717618,-0.059172672201438126,2020-02-24,2020-03-19,,,,,,,,0.03896589149216623,0.07660607322019852,0.06365290051974193,0.0265753427338975,0.036801326336536544,0.10275758304581384,0.11800955113296618,0.6216216216216216,3.349709062183735,15,2019-07-04,2022-07-04
0.07801711058044525,0.052398843642421804,1.0784100637143497,1.3184488708500604,1.4639229616079528,-0.05917340619370722,2020-02-24,2020-03-19,,,,,,,,,0.08270433216719453,0.06365290051974393,0.026035898351941755,0.03759209519498907,0.10886437442471153,0.12711952513835056,0.6388888888888888,3.101076872633734,16,2020-01-04,2023-01-04
0.07402340925846973,0.05051284434321885,1.0432591683805676,1.4985111048378195,1.4005212710542778,-0.0493979717731095,2023-09-04,2024-02-05,,,,,,,,,0.007779949339021597,0.06365290051974148,0.02603589835194109,0.03766000944158998,0.10981994767921743,0.1298651370115813,0.6111111111111112,3.1549975897195934,17,2020-07-04,2023-07-04
0.07482153756600862,0.04892956111378337,1.0905884870684486,1.5353749029853367,1.4790011120518507,-0.04873177060568587,2023-09-04,2024-02-05,,,,,,,,,,0.05899699212886311,0.026035898351941977,0.03813516018203211,0.10704118335589019,0.12222434479819255,0.5675675675675675,3.2315395175278123,18,2021-01-04,2024-01-04
0.07169604385845041,0.04775398229878816,1.0552447548009556,1.473336184245461,1.4189675121645218,-0.04866237904498902,2023-09-04,2024-02-05,,,,,,,,,,0.021760650370816315,0.026035898351941755,0.038135160182033,0.10349437537965511,0.11204041519318686,0.6111111111111112,2.3587388522614634,19,2021-07-04,2024-07-04
0.07506994687048718,0.049126547595129154,1.0911135072028122,1.5426690668182004,1.4558954369733637,-0.048662379044989296,2023-09-04,2024-02-05,,,,,,,,,,,0.026975991944171662,0.03813516018203256,0.10140576391112988,0.12032540177122009,0.5945945945945946,2.5044187663862383,20,2022-01-04,2025-01-04
0.07936472431728347,0.04679000140641081,1.2284286489824865,1.630925694033812,1.6934196771387375,-0.048662379044988,2023-09-04,2024-02-05,,,,,,,,,,,0.010619062562317483,0.038135160182033,0.10140576391112988,0.11550015871099806,0.6486486486486487,2.0795896411938695,21,2022-07-04,2025-07-04
